"to_char","red_financiera_pagos","count"
"2021-02-01",BANCOMER,96
"2021-02-01",BANORTE,63
"2021-02-01",CIELO,2
"2021-02-01",CREDIBANCO,137
"2021-02-01",EFECTY,3
"2021-02-01",FIRSTDATA,4
"2021-02-01",GTECH,2
"2021-02-01",OXXO,4
"2021-02-01",PAGOEFECTIVO,11
"2021-02-01",PAYU_TEST,1
"2021-02-01",PRISMA_AR,4
"2021-02-01",PROCESOS_MC_PE_ENC,177
"2021-02-01",PSE,580
"2021-02-01",REDEBAN,117
"2021-02-01",REDECARD,4
"2021-02-01",TRANSBANK_DIRECT,77
"2021-02-01",TRANSBANK_V2,70
"2021-02-01",VISA_AR,23
"2021-02-01",VISANET_PE_V3,240
"2021-02-02",AMEX_AR,8
"2021-02-02",AMEX_MX,3
"2021-02-02",BANCOLOMBIA,115
"2021-02-02",BANCOMER,217
"2021-02-02",BANORTE,76
"2021-02-02",CIELO,504
"2021-02-02",CREDIBANCO,48
"2021-02-02",DAVIVIENDA,1
"2021-02-02",DIESTEL,2
"2021-02-02",EFECTY,164
"2021-02-02",FIRSTDATA,2
"2021-02-02",GTECH,85
"2021-02-02",NPS_AR,16
"2021-02-02",OXXO,18
"2021-02-02",PAGOEFECTIVO,2
"2021-02-02",PAYU_TEST,7
"2021-02-02",PRISMA_AR,2
"2021-02-02",PROCESOS_MC_PE_ENC,192
"2021-02-02",PSE,562
"2021-02-02",REDEBAN,74
"2021-02-02",REDECARD,265
"2021-02-02",STP,14
"2021-02-02",TRANSBANK_DEBIT,56
"2021-02-02",TRANSBANK_DIRECT,42
"2021-02-02",TRANSBANK_V2,77
"2021-02-02",VISA_AR,19
"2021-02-02",VISANET_PE_V3,152
"2021-02-03",BANORTE,9
"2021-02-03",CREDIBANCO,75
"2021-02-03",EFECTY,4
"2021-02-03",FIRSTDATA,1
"2021-02-03",PRISMA_AR,2
"2021-02-03",PROCESOS_MC_PE_ENC,108
"2021-02-03",PSE,109
"2021-02-03",REDEBAN,6
"2021-02-03",REDECARD,1
"2021-02-03",TRANSBANK_DIRECT,86
"2021-02-03",TRANSBANK_V2,7
"2021-02-03",VISA_AR,8
"2021-02-03",VISANET_PE_V3,53
"2021-02-04",BANCOLOMBIA,96
"2021-02-04",BANCOMER,3
"2021-02-04",CREDIBANCO,2
"2021-02-04",FIRSTDATA,4
"2021-02-04",PROCESOS_MC_PE_ENC,202
"2021-02-04",PSE,35
"2021-02-04",REDEBAN,2
"2021-02-04",TRANSBANK_V2,33
"2021-02-04",VISA_AR,3
"2021-02-04",VISANET_PE_V3,20
"2021-02-05",BANCOMER,18
"2021-02-05",BANORTE,2
"2021-02-05",CIELO,3
"2021-02-05",CREDIBANCO,30
"2021-02-05",EFECTY,1
"2021-02-05",FIRSTDATA,12
"2021-02-05",PAGOEFECTIVO,5
"2021-02-05",PAYU_TEST,1
"2021-02-05",PROCESOS_MC_PE_ENC,173
"2021-02-05",PSE,133
"2021-02-05",REDEBAN,12
"2021-02-05",REDECARD,2
"2021-02-05",TRANSBANK_DIRECT,29
"2021-02-05",TRANSBANK_V2,41
"2021-02-05",VISA_AR,133
"2021-02-05",VISANET_PE_V3,164
"2021-02-06",BANCOLOMBIA,13
"2021-02-06",CREDIBANCO,8
"2021-02-06",FIRSTDATA,5
"2021-02-06",PAYU_TEST,1
"2021-02-06",PROCESOS_MC_PE_ENC,133
"2021-02-06",PSE,3
"2021-02-06",REDEBAN,7
"2021-02-06",TRANSBANK_DIRECT,5
"2021-02-06",VISANET_PE_V3,45
"2021-02-07",CREDIBANCO,4
"2021-02-07",PROCESOS_MC_PE_ENC,140
"2021-02-07",PSE,3
"2021-02-07",REDEBAN,4
"2021-02-07",TRANSBANK_DIRECT,91
"2021-02-07",TRANSBANK_V2,1
"2021-02-07",VISA_AR,1
"2021-02-07",VISANET_PE_V3,36
"2021-02-08",CIELO,1
"2021-02-08",CREDIBANCO,3
"2021-02-08",PROCESOS_MC_PE_ENC,77
"2021-02-08",PSE,4
"2021-02-08",REDEBAN,5
"2021-02-08",REDECARD,2
"2021-02-08",TRANSBANK_DIRECT,1
"2021-02-08",TRANSBANK_V2,10
"2021-02-08",VISA_AR,5
"2021-02-08",VISANET_PE_V3,13
